TaxID	Pathogen	Kindom	Phylum	Class	Order	Family	Genus	Species	Gram stain	Host	Biosafety level	Disease
1789	Mycobacterium xenopi	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium xenopi	+	"Amphibian,Human"	BSL-2	Respiratory system
1809	Mycobacterium ulcerans	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium ulcerans	+	"Human,Mammal"	BSL-2	Skin/Soft tissue
1823	Nocardia otitidiscaviarum	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Nocardiaceae	Nocardia	Nocardia otitidiscaviarum	+	"Human,Rodent"	BSL-2	Respiratory system
1824	Nocardia asteroides	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Nocardiaceae	Nocardia	Nocardia asteroides	+	Human	BSL-2	
1993	Actinomadura madurae	Bacteria	Actinomycetota	Actinomycetes	Streptosporangiales	Thermomonosporaceae	Actinomadura	Actinomadura madurae	+	Human	BSL-2	Skin/Soft tissue
2047	Rothia dentocariosa	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Rothia	Rothia dentocariosa	+	Human	BSL-2	Respiratory system
2095	Mycoplasma capricolum	Bacteria	Mycoplasmatota	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma capricolum	+	"Human,Mammal"	null	Central nervous system;Reproductive system;Respiratory system
2097	Mycoplasmoides genitalium	Bacteria	Mycoplasmatota		Mycoplasmoidales	Mycoplasmoidaceae	Mycoplasmoides	Mycoplasmoides genitalium	+	Human	BSL-2	
2104	Mycoplasmoides pneumoniae	Bacteria	Mycoplasmatota		Mycoplasmoidales	Mycoplasmoidaceae	Mycoplasmoides	Mycoplasmoides pneumoniae	+	Human	BSL-2	Respiratory system
2702	Gardnerella vaginalis	Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Gardnerella	Gardnerella vaginalis	-	Human	BSL-2	Blood;Reproductive system
13373	Burkholderia mallei	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia mallei	-	"Human,Mammal"	BSL-3	Eye/Ear/Oral/Nasal
28037	Streptococcus mitis	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus mitis	+	"Human,Primate"	BSL-2	Blood;Cardiovascular system;Eye/Ear/Oral/Nasal
28080	Campylobacter upsaliensis	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter upsaliensis	-	"Human,Mammal"	BSL-2	
28090	Acinetobacter lwoffii	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter lwoffii	-	"Arthropod,Birds,Human,Mammal"	BSL-2	Blood;Respiratory system
28095	Burkholderia gladioli	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia gladioli	-	"Environment,Human,Mammal,Plant"	BSL-2	Eye/Ear/Oral/Nasal;Respiratory system
28112	Tannerella forsythia	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Tannerella	Tannerella forsythia	-	"Human,Mammal"	null	Eye/Ear/Oral/Nasal
28116	Bacteroides ovatus	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides ovatus	-	"Birds,Human,Mammal,Rodent"	null	Blood;Digestive system
28119	Bacteroides zoogleoformans	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides zoogleoformans	-	Human	BSL-2	Eye/Ear/Oral/Nasal
28123	Porphyromonas asaccharolytica	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	Porphyromonas asaccharolytica	-	Human	BSL-2	Respiratory system
