Pathogen	Kindom	Phylum	Class	Order	Family	Genus	Species	Gram stain	Host	Biosafety level	Disease
Bacteroides caccae	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides caccae	-	Human	BSL-2	
Lacticaseibacillus rhamnosus	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	Lacticaseibacillus rhamnosus	+	Birds;Human;Mammal;Plant;Rodent	BSL-1	Cardiovascular system
Pseudomonas fulva	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas fulva	-	Human;Mammal;Plant	BSL-1	Blood;Respiratory system
Pseudomonas oryzihabitans	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas oryzihabitans	-	Arthropod;Birds;Human;Mammal;Plant	BSL-2	
Acinetobacter pittii	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter pittii	-	Human;Mammal;Plant;Rodent;Vertebrate	BSL-2	Blood;Bone/Joint;Cardiovascular system;Central nervous system;Digestive system;Reproductive system;Respiratory system;Skin/Soft tissue;Urinary system
Prevotella dentalis	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella dentalis	-	Human;Mammal	BSL-1	
Brachyspira pilosicoli	Bacteria	Spirochaetota	Spirochaetia	Brachyspirales	Brachyspiraceae	Brachyspira	Brachyspira pilosicoli	null	Birds;Human;Mammal	BSL-2	Digestive system
Actinomyces gerencseriae	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces gerencseriae	+	Human	BSL-2	Digestive system
Schaalia meyeri	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Schaalia	Schaalia meyeri	null	Human	BSL-2	Eye/Ear/Oral/Nasal
Enterococcus durans	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus durans	+	Birds;Environment;Human;Insect;Mammal	BSL-2	
Enterococcus mundtii	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus mundtii	+	Birds;Environment;Human;Mammal	BSL-1	
Nocardia flavorosea	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Nocardiaceae	Nocardia	Nocardia flavorosea	+	Human	BSL-1	
Salmonella bongori	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella bongori	-	Birds;Human	BSL-2	Digestive system
Actinomyces graevenitzii	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces graevenitzii	+	Human	null	
Corynebacterium mucifaciens	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium mucifaciens	+	Human	BSL-2	
Citrobacter braakii	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter braakii	-	Amphibian;Birds;Environment;Human;Mammal;Reptile	BSL-2	Bone/Joint;Central nervous system;Digestive system;Skin/Soft tissue;Urinary system
Prevotella pallens	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella pallens	-	Human	BSL-2	
Burkholderia vietnamiensis	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia vietnamiensis	-	Environment;Human;Plant	BSL-2	Respiratory system
