Pathogen	Kindom	Phylum	Class	Order	Family	Genus	Species	Gram stain	Host	Biosafety level	Disease
Nocardia wallacei	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Nocardiaceae	Nocardia	Nocardia wallacei	+	Human	BSL-2	
Burkholderia lata	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia lata	-	Human;Mammal	BSL-1	
Acinetobacter soli	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter soli	-	Human;Plant	BSL-2	Blood;Bone/Joint;Reproductive system;Respiratory system;Skin/Soft tissue
Burkholderia latens	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia latens	-	Human	BSL-2	Respiratory system
Aeromonas diversa	Bacteria	Pseudomonadota	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas diversa	-	Human	BSL-2	
Enterobacter mori	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter mori	-	Human;Insect;Mammal;Plant	BSL-2	Eye/Ear/Oral/Nasal
Actinomyces oris	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces oris	+	Human	BSL-2	Eye/Ear/Oral/Nasal
Proteus terrae subsp. cibarius	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Morganellaceae	Proteus	Proteus terrae	-	Birds;Human;Mammal	BSL-2	
Bacteroides fluxus	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides fluxus	-	Human;Mammal	BSL-1	
Chryseobacterium arthrosphaerae	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium arthrosphaerae	null	Amphibian;Birds;Human	BSL-2	Digestive system;Respiratory system
Streptococcus lactarius	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus lactarius	+	Human	BSL-1	
Enterobacter bugandensis	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter bugandensis	-	Arthropod;Birds;Human;Mammal	BSL-2	Blood;Respiratory system;Skin/Soft tissue;Urinary system
Staphylococcus argenteus	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus argenteus	+	Human;Mammal;Primate;Vertebrate	BSL-2	Blood;Bone/Joint;Reproductive system;Respiratory system;Skin/Soft tissue
Klebsiella michiganensis	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella michiganensis	-	Birds;Human;Insect;Mammal;Plant;Reptile;Rodent	BSL-2	Blood;Central nervous system;Digestive system;Eye/Ear/Oral/Nasal;Reproductive system;Respiratory system;Skin/Soft tissue;Urinary system
Nocardia vulneris	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Nocardiaceae	Nocardia	Nocardia vulneris	+	Human	BSL-2	Skin/Soft tissue
Acinetobacter oleivorans	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter oleivorans	-	Human;Mammal;Plant;Reptile	null	Digestive system
Prevotella jejuni	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella jejuni	-	Human	null	Respiratory system
Brucella inopinata	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Brucellaceae	Brucella	Brucella inopinata	-	Human	BSL-3	
Bartonella ancashensis	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Bartonellaceae	Bartonella	Bartonella ancashensis	-	Human	null	
Chryseobacterium gallinarum	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium gallinarum	null	Human	BSL-2	Urinary system
Streptococcus gwangjuense	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus gwangjuensis	+	Human	BSL-2	Eye/Ear/Oral/Nasal
Candidatus Mycoplasma haematohominis	Bacteria	Mycoplasmatota	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Candidatus Mycoplasma haematohominis	+	Human	null	
Escherichia marmotae	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia marmotae	-	Birds;Human;Mammal;Rodent;Vertebrate	BSL-1	Blood;Digestive system
Streptococcus parasuis	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus parasuis	+	Human;Mammal	BSL-2	Central nervous system;Digestive system;Respiratory system
Acinetobacter seifertii	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter seifertii	-	Human;Mammal	BSL-2	Blood;Digestive system
Borreliella mayonii	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella mayonii	-	Human	null	
Enterobacter roggenkampii	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter roggenkampii	-	Arthropod;Birds;Human;Mammal	BSL-2	Blood;Digestive system;Eye/Ear/Oral/Nasal;Respiratory system;Urinary system
Capnocytophaga canis	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	Capnocytophaga canis	null	Human;Mammal	BSL-2	Blood
Enterobacter sichuanensis	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter sichuanensis	-	Arthropod;Human;Mammal	BSL-2	Blood
Lactobacillus paragasseri	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus paragasseri	+	Human	BSL-1	
Streptococcus halitosis	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus halitosis	+	Human	BSL-2	
Streptococcus periodonticum	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus periodonticum	+	Human	BSL-2	Eye/Ear/Oral/Nasal
Enterobacter chengduensis	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter chengduensis	-	Human	BSL-2	Blood;Digestive system;Skin/Soft tissue
Enterobacter huaxiensis	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter huaxiensis	-	Human;Mammal	BSL-2	
Enterobacter quasiroggenkampii	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter quasiroggenkampii	-	Arthropod;Human;Mammal;Primate	BSL-2	Blood
Enterobacter chuandaensis	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter chuandaensis	-	Birds;Human	BSL-2	Urinary system
Enterobacter wuhouensis	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter wuhouensis	-	Human	BSL-2	
Enterobacter quasihormaechei	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter quasihormaechei	-	Human	BSL-2	Blood
Prevotella vespertina	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella vespertina	-	Human	BSL-2	Digestive system
Enterobacter quasimori	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter quasimori	-	Human	BSL-2	
Staphylococcus pseudintermedius	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus pseudintermedius	+	Mammal;Human	BSL-2	Blood;Respiratory system;Respiratory system;Urinary system;Central nervous system;Digestive system;Digestive system
Leptospira borgpetersenii	Bacteria	Spirochaetota	Spirochaetia	Leptospiraceae	Leptospiraceae	Leptospira	Leptospira borgpetersenii	-	Mammal;Human	BSL-2	Blood;Respiratory system;Central nervous system;Digestive system
Klebsiella quasipneumoniae	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella quasipneumoniae	-	Environment;Human	BSL-2	Blood;Respiratory system;Respiratory system;Urinary system;Central nervous system;Digestive system;Digestive system
Arcobacter cryaerophilus	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Arcobacter	Arcobacter cryaerophilus	-		BSL-2	Blood;Respiratory system;Respiratory system;Urinary system;Central nervous system;Digestive system;Digestive system
Arcobacter butzleri	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Arcobacter	Arcobacter butzleri	-		BSL-2	Digestive system
Ureaplasma urealyticum	Bacteria	Mycoplasmatota	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Ureaplasma	Ureaplasma urealyticum	+	Human	BSL-2	Blood;Respiratory system;Respiratory system;Urinary system;Central nervous system;Digestive system;Digestive system
Mycoplasma hominis	Bacteria	Mycoplasmatota	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma hominis	Null	Humans	BSL-2	Blood;Respiratory system;Respiratory system;Urinary system;Central nervous system;Digestive system;Digestive system
Mycoplasma genitalium	Bacteria	Mycoplasmatota	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma genitalium	Null	Humans	BSL-2	Urinary system
Neisseria gonorrhea	Bacteria	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria gonorrhea	-	Humans	BSL-2	Urinary system;Eye/Ear/Oral/Nasal
Enterobacteriales Salmonella	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Enterobacteriales Salmonella	-	Humans	BSL-2	Blood;Respiratory system;Cardiovascular system;Central nervous system;Digestive system;Urinary system
Enterobacteriaceae Salmonella	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Enterobacteriaceae Salmonella	-	Humans	BSL-2	Blood;Respiratory system;Cardiovascular system;Central nervous system;Digestive system;Urinary system
Calymmatobacterium granulomatis	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella granulomatis	-	Humans	BSL-2	Blood;Respiratory system;Cardiovascular system;Central nervous system;Digestive system;Urinary system
Photobacterium damselae	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Photobacterium	Photobacterium damselae	-	Vertebrate;Humans	BSL-2	Blood;Respiratory system;Cardiovascular system;Central nervous system;Digestive system;Urinary system
Achromobacter xylosoxidans	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Achromobacter	Achromobacter xylosoxidans	-	Environment;Human	BSL-2	Blood;Respiratory system;Cardiovascular system;Central nervous system;Digestive system;Urinary system
Achromobacter denitrificans	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Achromobacter	Achromobacter denitrificans	-	Environment;Human	BSL-2	Blood;Respiratory system;Cardiovascular system;Central nervous system;Digestive system;Urinary system
Kerstersia gyiorum	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Kerstersia	Kerstersia gyiorum	-	Human	BSL-2	Blood;Respiratory system;Cardiovascular system;Central nervous system;Digestive system;Urinary system
Providencia mirabilis	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Proteus	Proteus mirabilis	-	Human	BSL-2	Blood;Respiratory system;Cardiovascular system;Central nervous system;Digestive system;Urinary system
Enterobacter aerogenes	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter aerogenes	-	Human	BSL-2	Blood;Respiratory system;Cardiovascular system;Central nervous system;Digestive system;Urinary system
Myroides odoratimimus	Bacteria	Pseudomonadota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Myroides	Myroides odoratus	-	Human	BSL-2	Blood;Respiratory system;Cardiovascular system;Central nervous system;Digestive system;Urinary system
Pseudomonas mendocina	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas mendocina	-	Environment	BSL-2	Blood;Respiratory system;Cardiovascular system;Central nervous system;Digestive system;Urinary system
Wohlfahrtiimonas chitiniclastica	Bacteria	Pseudomonadota	Gammaproteobacteria	Cardiobacteriales	Wohlfahrtiimonadaceae	Wohlfahrtiimonas	Wohlfahrtiimonas chitiniclastica	-	Insect	BSL-2	Blood;Respiratory system;Cardiovascular system;Central nervous system;Digestive system;Urinary system
Streptococcus mutans	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus mutans	+	Human	BSL-2	Blood;Respiratory system;Cardiovascular system;Central nervous system;Digestive system;Urinary system
Streptococcus zooepidemicus	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus zooepidemicus	+	Mammal	BSL-2	Blood;Respiratory system;Cardiovascular system;Central nervous system;Digestive system;Urinary system
Streptococcus tigurinus	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pyogenes	+	Human	BSL-2	Blood;Cardiovascular system;Central nervous system;Bone/Joint;Digestive system
Streptococcus bovis	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus bovis	+	Mammal	BSL-2	Blood;Cardiovascular system;Central nervous system;Digestive system;Bone/Joint
Mycobacterium fortuitum	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium fortuitum	+	Environment;Human	BSL-2	Blood;Respiratory system;Cardiovascular system;Central nervous system;Digestive system;Urinary system
Mycobacterium peregrinum	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium peregrinum	+	Human	BSL-2	Blood;Respiratory system;Cardiovascular system;Central nervous system;Digestive system;Urinary system
Rhizobiales Afipia	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Nitrobacteraceae	Afipia	Rhizobiales Afipia	-	Environment	BSL-2	Blood;Respiratory system;Cardiovascular system;Central nervous system;Digestive system;Urinary system
Bradyrhizobiaceae Afipia	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Afipia	Bradyrhizobiaceae Afipia	-	Environment	BSL-2	Blood;Respiratory system;Cardiovascular system;Central nervous system;Digestive system;Urinary system
Acetobacteraceae Roseomonas	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Roseomonas	Roseomonas gilardii	-	Environment	BSL-1	Blood;Respiratory system;Cardiovascular system;Central nervous system;Digestive system;Urinary system
Spirochaetaceae Borrelia	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Borrelia	Spirochaetaceae Borrelia	-	Arthropod	BSL-2	Blood;Respiratory system;Cardiovascular system;Central nervous system;Digestive system;Urinary system
Moraxellaceae Moraxella	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxella	Moraxellaceae Moraxella	-	Human	BSL-2	Blood;Respiratory system;Cardiovascular system;Central nervous system;Digestive system;Urinary system
Pseudomonas stutzeri	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas stutzeri	-	Environment	BSL-1	Blood;Respiratory system;Cardiovascular system;Central nervous system;Digestive system;Urinary system
Corynebacterium auriscanis	Bacteria	Actinomycetota	Actinomycetes	Actinomycetes	Mycobacteriaceae	Corynebacterium	Corynebacterium auriscanis	+	Mammal	BSL-2	Blood;Respiratory system;Cardiovascular system;Central nervous system;Digestive system;Urinary system
Corynebacterium canis	Bacteria	Actinomycetota	Actinomycetes	Actinomycetes	Mycobacteriaceae	Corynebacterium	Corynebacterium auriscanis	+	Mammal	BSL-2	Blood;Respiratory system;Cardiovascular system;Central nervous system;Digestive system;Urinary system
Corynebacterium freiburgense	Bacteria	Actinomycetota	Actinomycetes	Actinomycetes	Mycobacteriaceae	Corynebacterium	Corynebacterium freiburgense	+	Human	BSL-2	Blood;Respiratory system;Cardiovascular system;Central nervous system;Digestive system;Urinary system
Corynebacterium kutscheri	Bacteria	Actinomycetota	Actinomycetes	Actinomycetes	Mycobacteriaceae	Corynebacterium	Corynebacterium kutscheri	+	Rodent	BSL-2	Blood;Respiratory system;Cardiovascular system;Central nervous system;Digestive system;Urinary system
Corynebacterium mastitidis	Bacteria	Actinomycetota	Actinomycetes	Actinomycetes	Mycobacteriaceae	Corynebacterium	Corynebacterium mastitidis	+	Mammal	BSL-2	Blood;Respiratory system;Cardiovascular system;Central nervous system;Digestive system;Urinary system
Corynebacterium glucuronolyticum	Bacteria	Actinomycetota	Actinomycetes	Actinomycetes	Mycobacteriaceae	Corynebacterium	Corynebacterium glucuronolyticum	+	Human	BSL-2	Blood;Respiratory system;Cardiovascular system;Central nervous system;Digestive system;Urinary system
Corynebacterium urealyticum	Bacteria	Actinomycetota	Actinomycetes	Actinomycetes	Mycobacteriaceae	Corynebacterium	Corynebacterium urealyticum	+	Human	BSL-2	Blood;Respiratory system;Cardiovascular system;Central nervous system;Digestive system;Urinary system
Mycobacterium abscessus	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus	+	Human	BSL-2	Blood;Respiratory system;Cardiovascular system;Central nervous system;Digestive system;Urinary system
Mycobacterium asiaticum	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium asiaticum	+	Environment	BSL-2	Blood;Respiratory system;Cardiovascular system;Central nervous system;Digestive system;Urinary system
Mycobacterium intracellulare	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium intracellulare	+	Environment	BSL-2	Blood;Respiratory system;Cardiovascular system;Central nervous system;Digestive system;Urinary system
Mycobacterium bacteremicum	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium bacteremicum	+	Human	BSL-2	Blood;Respiratory system;Cardiovascular system;Central nervous system;Digestive system;Urinary system
Mycobacterium neoaurum	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium neoaurum	+	Environment	BSL-2	Blood;Respiratory system;Cardiovascular system;Central nervous system;Digestive system;Urinary system
Mycobacterium barrassiae	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium barrassiae	+	Human	BSL-2	Blood;Respiratory system;Cardiovascular system;Central nervous system;Digestive system;Urinary system
Mycobacterium branderi	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium branderi	+	Mammal;Human;Environment	BSL-2	Blood;Respiratory system;Central nervous system;Digestive system
Mycobacterium celatum	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium celatum	+	Human;Environment	BSL-2	Blood;Respiratory system;Central nervous system;Digestive system
Nocardia africana	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Nocardia	Nocardia africana	+	Human	BSL-2	Blood;Respiratory system;Central nervous system;Digestive system
Nocardia mexicana	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Nocardia	Nocardia mexicana	+	Human;Environment	BSL-2	Blood;Respiratory system;Central nervous system;Digestive system
Nocardia veterana	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Nocardia	Nocardia veterana	+	Human;Environment	BSL-2	Blood;Respiratory system;Central nervous system;Digestive system
Nocardia pseudobrasiliensis	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Nocardia	Nocardia pseudobrasiliensis	+	Human	BSL-2	Blood;Respiratory system;Central nervous system;Digestive system
Nocardia cyriacigeorgica	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Nocardia	Nocardia cyriacigeorgica	+	Human;Environment	BSL-2	Blood;Respiratory system;Central nervous system;Digestive system
Dermabacter hominis	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Dermabacteraceae	Dermabacter	Dermabacter hominis	+	Human	BSL-1	Blood;Respiratory system;Central nervous system;Digestive system;Urinary system
Pseudomonas putrefaciens	Bacteria	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	Pseudomonas putrefaciens	-	Human;Environment	BSL-1	Blood;Respiratory system;Central nervous system;Digestive system
Acinetobacter calcoaceticus	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter calcoaceticus	-	Human;Insect;Environment	BSL-1	Blood;Respiratory system;Cardiovascular system;Central nervous system;Digestive system
Actinomyces odontolyticus	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces odontolyticus	+	Human	BSL-2	Blood;Respiratory system;Central nervous system;Digestive system
Aeromonas enteropelogenes	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Aeromonadaceae	Aeromonas	Aeromonas enteropelogenes	-	Human;Environment	BSL-2	Blood;Respiratory system;Cardiovascular system;Central nervous system;Digestive system;Urinary system
Bifidobacterium animalis	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium animalis	+	Mammal;Human	BSL-1	Blood;Respiratory system;Central nervous system;Digestive system
Clostridium difficile	Bacteria	Bacillota	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Clostridioides	Clostridium difficile	+	Human;Environment;Birds;Mammal	BSL-2	Blood;Respiratory system;Cardiovascular system;Central nervous system;Digestive system;Urinary system
Clostridium sordellii	Bacteria	Bacillota	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Paraclostridium	Clostridium sordellii	+	Human	BSL-2	Blood;Respiratory system;Central nervous system;Digestive system
Clostridium spiroforme	Bacteria	Bacillota	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium spiroforme	+	Mammal;Human	BSL-1	Blood;Respiratory system;Central nervous system;Digestive system
Corynebacterium amycolatum	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Corynebacterium	Corynebacterium amycolatum	+	Human;Environment	BSL-1	Blood;Respiratory system;Cardiovascular system;Central nervous system;Digestive system;Urinary system
Corynebacterium ureicelerivorans	Bacteria	Actinomycetota	Actinomycetia	Mycobacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium ureicelerivorans	+	Human	BSL-1	Blood;Respiratory system;Central nervous system;Digestive system;Urinary system
Cronobacter condimenti	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cronobacter	Cronobacter condimenti	-	Human;Environment	BSL-1	Blood;Respiratory system;Central nervous system;Digestive system
Cronobacter turicensis	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cronobacter	Cronobacter turicensis	-	Human;Food	BSL-2	Blood;Respiratory system;Central nervous system;Digestive system
Cronobacter universalis	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cronobacter	Cronobacter universalis	-	Human;Food;Environment	BSL-2	Blood;Respiratory system;Central nervous system;Digestive system
Eggerthella lenta	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Eggerthella	Eggerthella lenta	+	Human	BSL-2	Blood;Respiratory system;Cardiovascular system;Central nervous system;Digestive system;Urinary system
Helicobacter fennelliae	Bacteria	Pseudomonadota	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter fennelliae	-	Mammal;Human	BSL-2	Blood;Respiratory system;Cardiovascular system;Central nervous system;Digestive system
Legionella anisa	Bacteria	Pseudomonadota	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	Legionella anisa	-	Human;Environment	BSL-2	Blood;Respiratory system;Central nervous system;Digestive system
Leminorella grimontii	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Leminorella	Leminorella grimontii	-	Human;Insect	BSL-2	Blood;Respiratory system;Central nervous system;Digestive system
Mycobacterium marinum	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium marinum	+	Human;Food;Environment	BSL-2	Blood;Respiratory system;Central nervous system;Digestive system
Mycobacterium massiliense	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacteroides	Mycobacterium massiliense	+	Human;Environment	BSL-2	Blood;Respiratory system;Cardiovascular system;Central nervous system;Digestive system;Urinary system
Mycobacterium septicum	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium septicum	+	Human;Environment	BSL-2	Blood;Respiratory system;Central nervous system;Digestive system
Mycobacterium smegmatis	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium smegmatis	+	Human;Environment;Plant	BSL-1	Blood;Respiratory system;Central nervous system;Digestive system
Mycoplasma penetrans	Bacteria	Mycoplasmatota	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma penetrans	+	Human;Environment;Rodent;Birds	BSL-2	Blood;Respiratory system;Central nervous system;Digestive system
Mycoplasma pneumoniae	Bacteria	Mycoplasmatota	Mollicutes	Mycoplasmoidales	Mycoplasmoidaceae	Mycoplasmoides	Mycoplasma pneumoniae	Null	Human	BSL-2	Blood;Respiratory system;Cardiovascular system;Central nervous system;Digestive system;Urinary system
Parascardovia denticolens	Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Parascardovia	Parascardovia denticolens	+	Human	BSL-1	Blood;Respiratory system;Central nervous system;Digestive system
Photorhabdus asymbiotica	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Photorhabdus	Photorhabdus asymbiotica	-	Human	BSL-2	Blood;Respiratory system;Central nervous system;Digestive system
Staphylococcus capitis	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus capitis	+	Human;Birds;Mammal	BSL-2	Blood;Respiratory system;Cardiovascular system;Central nervous system;Digestive system
Streptococcus urinalis	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus urinalis	+	Human	BSL-2	Blood;Respiratory system;Central nervous system;Digestive system;Urinary system
Yersinia kristensenii	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Yersinia	Yersinia kristensenii	-	Human;Environment	BSL-1	Blood;Respiratory system;Cardiovascular system;Central nervous system;Digestive system
